blockDescription	blockExpiration	blockStartTime	blockType	blockUpdate	blockingAlertID	blockingAlertUuid	causeAlert	city	country	delay	endNode	id	length	level	line	pubMillis	roadType	segments	severity	speed	speedKMH	street	turnType	type	updateMillis	uuid
Nueva Alameda	1757044740000	1746723780000	ROAD_CLOSED_EVENT	1746723876549	44779615	7c011a75-daee-4d69-8ec6-cdda0d703b96	{"reportBy":"ClaudioPetit","country":"CI","inscale":false,"city":"Providencia","reportRating":5,"reportByMunicipalityUser":"false","confidence":5,"reliability":10,"type":"ROAD_CLOSED","fromNodeId":285439864,"uuid":"7c011a75-daee-4d69-8ec6-cdda0d703b96","speed":0,"reportMood":0,"roadType":2,"magvar":270,"subtype":"ROAD_CLOSED_EVENT","street":"Merced","wazeData":"world,-70.63286904311519,-33.43674304700422,7c011a75-daee-4d69-8ec6-cdda0d703b96","toNodeId":285439865,"location":{"x":-70.632869,"y":-33.436743},"id":"alert-44779615/7c011a75-daee-4d69-8ec6-cdda0d703b96","pubMillis":1746723876000}	Providencia	CI	-1	Pío Nono	1177977204	169	5	[{"x":-70.632869,"y":-33.436743},{"x":-70.633276,"y":-33.436709},{"x":-70.633635,"y":-33.436667},{"x":-70.633934,"y":-33.436619},{"x":-70.63424,"y":-33.436572},{"x":-70.634508,"y":-33.436594},{"x":-70.634662,"y":-33.436627}]	1750748312224	2	[{"fromNode":285439864,"ID":362568011,"toNode":285439865,"isForward":false}]	5	0	0	Merced	NONE	NONE	1751339784359	1177977204
cerrado	1777607940000	1748912220000	ROAD_CLOSED_EVENT	1748912274265	5279898	b473ba6b-f83d-42f2-a240-ad5f6abf0994	{"reportBy":"kan0n1","country":"CI","inscale":false,"city":"Santiago","reportRating":5,"reportByMunicipalityUser":"false","confidence":5,"reliability":10,"type":"ROAD_CLOSED","fromNodeId":153778181,"uuid":"b473ba6b-f83d-42f2-a240-ad5f6abf0994","speed":0,"reportMood":0,"roadType":1,"magvar":74,"subtype":"ROAD_CLOSED_EVENT","street":"Salvador Sanfuentes","wazeData":"world,-70.67522838943437,-33.45175887443712,b473ba6b-f83d-42f2-a240-ad5f6abf0994","toNodeId":153778257,"location":{"x":-70.675228,"y":-33.451758},"id":"alert-5279898/b473ba6b-f83d-42f2-a240-ad5f6abf0994","pubMillis":1748912274000}	Santiago	CI	-1	Unión Latinoamericana	1180971010	131	5	[{"x":-70.675228,"y":-33.451757},{"x":-70.673875,"y":-33.451445}]	1750749227582	1	[{"fromNode":153778181,"ID":146026201,"toNode":153778257,"isForward":true}]	5	0	0	Salvador Sanfuentes	NONE	NONE	1751339780456	1180971010
								Independencia	CI	95	Cruz	159512486	301	2	[{"x":-70.655825,"y":-33.427037},{"x":-70.656206,"y":-33.425669},{"x":-70.656559,"y":-33.424397}]	1751339781306	1	[{"fromNode":211892937,"ID":249626354,"toNode":211892938,"isForward":true},{"fromNode":211892938,"ID":249628288,"toNode":211894159,"isForward":true}]	5	1.9361111111111111	6.97	Maruri	NONE	NONE	1751339781306	159512486
Nueva Alameda	1757044740000	1746723780000	ROAD_CLOSED_EVENT	1746723876582	44691439	f12cf1a7-0f72-4250-8f01-fc437ccdb3fd	{"reportBy":"ClaudioPetit","country":"CI","inscale":false,"city":"Providencia","reportRating":5,"reportByMunicipalityUser":"false","confidence":2,"reliability":10,"type":"ROAD_CLOSED","fromNodeId":285439865,"uuid":"f12cf1a7-0f72-4250-8f01-fc437ccdb3fd","speed":0,"reportMood":0,"roadType":2,"magvar":253,"subtype":"ROAD_CLOSED_EVENT","street":"Merced","wazeData":"world,-70.63466281484666,-33.43662777645517,f12cf1a7-0f72-4250-8f01-fc437ccdb3fd","toNodeId":156615375,"location":{"x":-70.634662,"y":-33.436627},"id":"alert-44691439/f12cf1a7-0f72-4250-8f01-fc437ccdb3fd","pubMillis":1746723876000}	Providencia	CI	-1	Pío Nono	1178927144	62	5	[{"x":-70.634662,"y":-33.436627},{"x":-70.635303,"y":-33.436788}]	1750748575339	2	[{"fromNode":285439865,"ID":362568010,"toNode":156615375,"isForward":false}]	5	0	0	Merced	NONE	NONE	1751339784955	1178927144
Obras Nueva Alameda	1756007940000	1751015100000	ROAD_CLOSED_EVENT	1751015166310	188456689	cf41ed1a-251a-4fd5-a0e2-94dbd6a4f89a	{"reportBy":"ElFresh92","country":"CI","inscale":false,"city":"Santiago","reportRating":5,"reportByMunicipalityUser":"false","confidence":1,"reliability":9,"type":"ROAD_CLOSED","fromNodeId":231938239,"uuid":"cf41ed1a-251a-4fd5-a0e2-94dbd6a4f89a","speed":0,"reportMood":0,"roadType":2,"magvar":176,"subtype":"ROAD_CLOSED_EVENT","street":"Retorno","wazeData":"world,-70.64887303674111,-33.44331911749732,cf41ed1a-251a-4fd5-a0e2-94dbd6a4f89a","toNodeId":231938240,"location":{"x":-70.648873,"y":-33.443319},"id":"alert-188456689/cf41ed1a-251a-4fd5-a0e2-94dbd6a4f89a","pubMillis":1751015166000}	Santiago	CI	-1	Av. Libertador Bernardo O'Higgins	1727280410	21	5	[{"x":-70.648873,"y":-33.443319},{"x":-70.648858,"y":-33.443505}]	1751015307074	2	[{"fromNode":231938239,"ID":279639153,"toNode":231938240,"isForward":true}]	5	0	0	Retorno	NONE	NONE	1751339781390	1727280410
								Santiago	CI	207	Sazié	159519916	318	3	[{"x":-70.661629,"y":-33.446722},{"x":-70.66095,"y":-33.449533}]	1751339781172	2	[{"fromNode":214840341,"ID":102942489,"toNode":125002240,"isForward":false}]	5	1.1722222222222223	4.22	Ejército Libertador	NONE	NONE	1751339781172	159519916
Obras Nueva Alameda	1756007940000	1750690380000	ROAD_CLOSED_EVENT	1750690432598	154740963	a98b4b0d-f2a8-4059-a495-3d10e22eb7dc	{"reportBy":"ElFresh92","country":"CI","inscale":false,"city":"Santiago","reportRating":5,"reportByMunicipalityUser":"false","confidence":5,"reliability":10,"type":"ROAD_CLOSED","fromNodeId":155732638,"uuid":"a98b4b0d-f2a8-4059-a495-3d10e22eb7dc","speed":0,"reportMood":0,"roadType":2,"magvar":224,"subtype":"ROAD_CLOSED_EVENT","street":"Retorno","wazeData":"world,-70.6682021547693,-33.44786231485648,a98b4b0d-f2a8-4059-a495-3d10e22eb7dc","toNodeId":320216350,"location":{"x":-70.668202,"y":-33.447862},"id":"alert-154740963/a98b4b0d-f2a8-4059-a495-3d10e22eb7dc","pubMillis":1750690432000}	Santiago	CI	-1	Av. Libertador Bernardo O'Higgins	1201001530	43	5	[{"x":-70.668202,"y":-33.447862},{"x":-70.668352,"y":-33.447994},{"x":-70.668317,"y":-33.448101},{"x":-70.668203,"y":-33.448119}]	1750760897610	2	[{"fromNode":155732638,"ID":266004634,"toNode":320216350,"isForward":true}]	5	0	0	Retorno	NONE	NONE	1751339780270	1201001530
								Santiago	CI	209	Av. Manuel Antonio Matta	159301550	184	4	[{"x":-70.644601,"y":-33.456783},{"x":-70.644519,"y":-33.457212},{"x":-70.644279,"y":-33.458423}]	1751339476995	1	[{"fromNode":333185899,"ID":435472634,"toNode":156870216,"isForward":true},{"fromNode":156870216,"ID":153156496,"toNode":156870215,"isForward":true}]	5	0.6944444444444444	2.5	Nueva de Valdés	NONE	NONE	1751339780753	159301550
								Santiago	CI	159	Rosas	159393684	199	3	[{"x":-70.676123,"y":-33.435318},{"x":-70.675916,"y":-33.437101}]	1751339629082	2	[{"fromNode":155732007,"ID":150474856,"toNode":155731890,"isForward":true}]	5	1.0333333333333334	3.72	Esperanza	NONE	NONE	1751339780940	159393684
								Lo Prado	CI	68	Av. María Rozas Velásquez	159063500	280	2	[{"x":-70.710299,"y":-33.443067},{"x":-70.707318,"y":-33.442738}]	1751339172481	1	[{"fromNode":164263905,"ID":165624681,"toNode":164263906,"isForward":true}]	5	2.25	8.1	Osorno	NONE	NONE	1751339780442	159063500
	0	0	NO_SUBTYPE	1751339385625	213519186	a95162d4-8d2d-48ae-9a61-f67f890edfd2	{"reportBy":"worldweb_qo70ylz9","country":"CI","inscale":false,"city":"Santiago","reportRating":3,"reportByMunicipalityUser":"false","confidence":0,"reliability":5,"type":"ROAD_CLOSED","fromNodeId":153778282,"uuid":"a95162d4-8d2d-48ae-9a61-f67f890edfd2","speed":0,"reportMood":1,"roadType":1,"magvar":276,"street":"Toesca","wazeData":"world,-70.674213,-33.455958,a95162d4-8d2d-48ae-9a61-f67f890edfd2","toNodeId":153778283,"location":{"x":-70.674213,"y":-33.455958},"id":"alert-213519186/a95162d4-8d2d-48ae-9a61-f67f890edfd2","pubMillis":1751339385000}	Santiago	CI	-1	Abate Molina	159342214	129	5	[{"x":-70.674213,"y":-33.455958},{"x":-70.672859,"y":-33.455686}]	1751339552625	1	[{"fromNode":153778282,"ID":146026289,"toNode":153778283,"isForward":true}]	5	0	0	Toesca	NONE	NONE	1751339780526	159342214
								Santiago	CI	108	Mapocho	159175878	208	3	[{"x":-70.677068,"y":-33.435429},{"x":-70.677169,"y":-33.434337},{"x":-70.677239,"y":-33.43356}]	1751339248904	1	[{"fromNode":155731972,"ID":150474845,"toNode":155732004,"isForward":true},{"fromNode":155732004,"ID":150474921,"toNode":155732039,"isForward":true}]	5	1.2472222222222222	4.49	Maipú	NONE	NONE	1751339780849	159175878
Trabajos	1754020740000	1746454740000	ROAD_CLOSED_EVENT	1746454792152	13854189	bd330d2c-c7d3-467d-bd99-3ab4e122c900	{"reportBy":"Gasparfox","country":"CI","inscale":false,"city":"Providencia","reportRating":5,"reportByMunicipalityUser":"false","confidence":5,"reliability":10,"type":"ROAD_CLOSED","fromNodeId":248603377,"uuid":"bd330d2c-c7d3-467d-bd99-3ab4e122c900","speed":0,"reportMood":0,"roadType":1,"magvar":75,"subtype":"ROAD_CLOSED_EVENT","street":"Arturo Burhle","wazeData":"world,-70.63483042729817,-33.4386493951387,bd330d2c-c7d3-467d-bd99-3ab4e122c900","toNodeId":153201919,"location":{"x":-70.63483,"y":-33.438649},"id":"alert-13854189/bd330d2c-c7d3-467d-bd99-3ab4e122c900","pubMillis":1746454792000}	Providencia	CI	-1	Ramón Carnicer	1178028362	151	5	[{"x":-70.63483,"y":-33.438648},{"x":-70.633257,"y":-33.438291}]	1750748311102	1	[{"fromNode":248603377,"ID":428053707,"toNode":153201919,"isForward":true}]	5	0	0	Arturo Burhle	NONE	NONE	1751339780768	1178028362
Nueva alameda	1756007940000	1746481140000	ROAD_CLOSED_EVENT	1746481200123	16020100	f3ce21ce-5a61-4ce7-8d94-a800c7ecf03d	{"reportBy":"ClaudioPetit","country":"CI","inscale":false,"city":"Providencia","reportRating":5,"reportByMunicipalityUser":"false","confidence":5,"reliability":10,"type":"ROAD_CLOSED","fromNodeId":237467968,"uuid":"f3ce21ce-5a61-4ce7-8d94-a800c7ecf03d","speed":0,"reportMood":0,"roadType":2,"magvar":93,"subtype":"ROAD_CLOSED_EVENT","street":"Ramón Carnicer","wazeData":"world,-70.63393574297437,-33.43728991080193,f3ce21ce-5a61-4ce7-8d94-a800c7ecf03d","toNodeId":148225725,"location":{"x":-70.633935,"y":-33.437289},"id":"alert-16020100/f3ce21ce-5a61-4ce7-8d94-a800c7ecf03d","pubMillis":1746481200000}	Providencia	CI	-1	Retorno > Sur	122273014	60	5	[{"x":-70.633935,"y":-33.437289},{"x":-70.63365,"y":-33.437438},{"x":-70.633523,"y":-33.437676}]	1751132878601	2	[{"fromNode":237467968,"ID":180738935,"toNode":148225725,"isForward":false}]	5	0	0	Ramón Carnicer	NONE	NONE	1751339781505	122273014
